marketCode,name,address,LS_Coord_Deg,LS_Coord_Min,BT_Coord_Deg,BT_Coord_Min
M-TGR-007,Aziz,Cipondoh Indah,6,10.57,106,41.115
M-TGR-008,Camat Setempat,Jl. Petir Utama,6,11.262,106,42.683
M-TGR-009,Market Officer,Kp. Gunung,6,11.113,106,40.59
M-TGR-010,PD. Pasar,Pasar Anyar,,0,,0
M-TGR-011,Ketua RW Desa Sukasari,Pasar Lama,6,10.698,106,37.786
M-TGR-035,PD. Pasar/Sanusi,Jl. Imam Bonjol,6,10.74,106,37.592
M-TGR-039,Sucipto,Perum. Keroncong Permai,6,11.034,106,35.186
M-TGR-040,Sarmin,Pasar Pacipik,6,12.369,106,34.525
M-TGR-042,PD. Pasar,Jl. Karet Raya,6,12.518,106,36.592
M-TGR-043,Mugem Al Karim,Pondok Bahar,6,12.258,106,41.777
M-TGR-053,PD. Pasar Kota Tangerang,Jl. Raya Ciledug,6,13.498,106,42.525
M-TGR-056,Lurah,Villa Mutiara Pluit,6,9.134,106,35.797
M-TGR-057,Suhaemi,Jl. Raya Sanghiang Jatiuwung,6,11.106,106,35.53
M-TGR-058,Sutar,Jl. Raya Regensi,6,10.226,106,35.209
M-TGR-059,Ketek(Village Market),Mekarsari,6,9.583,106,37.876
M-TGR-065,Pasar Ramadhani,Jl. M.Toha,6,16.945,106,6.185
M-TGR-066,Pasar Bengkok,Jl. Hasyim Ashari,6,22.199,106,68.686
M-TGR-067,Pasar Ampera,Jl. KH.Maulana Hasanudin,6,16.429,106,68.105
M-TGR-068,Pasar Mandiri,Perum Poris Indah Blok E,6,17.624,106,68.527
M-TGR-069,Pasar Bandeng,Jl Beringin Perum 1 RT 01/04,6,20.074,106,61.465
M-TGR-070,pasar lembang,jl raden fatah raya rt 02/01,6,23.873,106,70.485
M-TGR-071,pasar jatibaru,Jatiuwung,6,18.375,106,58.609
M-TGR-072,Pasar Taman Cibodas,Periuk,6,20.902,106,6.106
M-TGR-073,Pasar Babakan,,6,19.025,106,63.667
D-TGR-091,Pasar Bukit,Jl Raya Serua no 1,6,32.473,106,71.188
D-TGR-093,Pasar Ruko Pamulang,Jl Raya Siliwangi,6,92.133,106,81.233
D-TGR-200,Pasar Delapan Alam Sutera,,6,23.998,106,65.251
D-TGR-201,Pasar Bintaro II,,6,27.814,106,75.194
D-TGR-202,Pasar Mini Pertamina,,6,28.624,106,74.468
D-TGR-203,Pasar Modern Bintaro,,6,16.745,106,43.174
